,name,star,rating,platforms,n_ratings,genres,content,img
9,字母人 Typoman,45,8.2,PC / Mac / iPhone / iPad / Android / PS4 / Xbox One / Wii U,127,游戏 / 横版过关 / 益智 / 冒险,"收集游戏中所有的“quotations”非常重要！！对游戏情节是很好的补充和拓展。《错字人》丰富的政治隐喻、自洽的叙事逻辑以及富有宿命论色彩的结局，这些都给这个以“拼写单词”为核心机制的解谜游戏增色不少。

一个点：
Boss战之前的quotation写道“I Shall accept my fate and become a bacon of HOPE”预示了一个悲情的、具有宗教色彩，却丝毫不落窠臼的结局。

语言和文字的力量也许不能拯救世界，甚至在很多情况下，它们会在“LIE”的力量下生产灾难——但它还是可以成为“HOPE”的载体，让我们在绝望中的一切努力都显得具有价值，同时达成自我的升华——我想这才是主人公“HERO”的经历和《错字人》所能传达给我们的真相。",https://img1.doubanio.com/lpic/s33547628.jpg
10,枪口 Gunpoint,45,8.2,PC / Mac / Linux,88,游戏 / 冒险 / 益智 / 动作,《电工基础》,https://img1.doubanio.com/lpic/s27034899.jpg
11,刺客信条:逆命合辑 Assassin's Creed: The Rebel Collection,45,8.2,Nintendo Switch,32,游戏 / 冒险 / 动作,居然没有人。。。,https://img2.doubanio.com/lpic/s34160971.jpg
12,太空刑警3  Space Marshals 3,45,8.2,iPhone / iPad / Android,13,游戏 / 射击 / 冒险 / 策略 / 动作,事越多越打游戏！保持了前作水准，不少小细节上有提升，场景设计真够意思。,https://img3.doubanio.com/lpic/s34106400.jpg
13,乌鸦森林之谜2：鸦林迷雾 Enigmatis 2: The Mists of Ravenwood,45,8.2,PC / Mac / iPhone / iPad / Android,105,游戏 / 冒险,不错的手游App，这个系列都非常有文化底蕴,https://img2.doubanio.com/lpic/s27280172.jpg
14,管道探险 Fullpipe,45,8.2,PC,16,游戏 / 冒险,大学时玩过的一个独立游戏，真是很indie了，脑洞独特，需要跟游戏作者神交才能get到解谜思路，第一次意识到“游戏也有作者”。一直存在旧电脑硬盘里，舍不得删除,https://img1.doubanio.com/lpic/s33658317.jpg
15,奇异人生2 Life is Strange 2,45,8.2,PC / Mac / PS4 / Xbox One / Linux,1814,游戏 / 冒险 / 动作,不是很懂在护栏网下成长的一代玩家给低分的点居然是zzzq哈😅明明自己就是有色人种。我扣一星单纯是因为叙事不够深刻太雨露均沾了，用latino的故事引申出社会议题本身这个角度是很不错的。,https://img9.doubanio.com/lpic/s29856295.jpg
16,细胞迷途 MO: Astray,45,8.2,PC / iPhone / iPad / Android / Nintendo Switch,76,游戏 / 横版过关 / 冒险 / 动作,可可爱爱 小而精,https://img9.doubanio.com/lpic/s33509275.jpg
17,拣爱,45,8.2,PC / Mac / Android,503,游戏 / 文字冒险 / 冒险,还是烤肠香啊,https://img1.doubanio.com/lpic/s34254889.jpg
18,文化3：北国风云 Cultures 3: Northland,45,8.2,PC / Mac,24,游戏 / 模拟 / 冒险 / 策略,最典型的德国系即时战略（Joowood系），相对繁琐，比如造弓箭手的话，那么需要制作弓箭，但弓箭的制作又需要伐木场以及弓箭制作师等等。也是很多人的童年记忆。但相对知名度较小，很多人把他跟工人物语混淆了。,https://img1.doubanio.com/lpic/s24477669.jpg
19,城堡破坏者 复刻版 Castle Crashers Remastered,40,8.1,PC / PS4 / Xbox One / Nintendo Switch,14,游戏 / 角色扮演 / 冒险 / 动作,又萌又血腥的终极狂扁小朋友 装备动作魔法的细节都还挺丰富的 玩起来笑哈哈,https://img2.doubanio.com/lpic/s33624853.jpg
0,波西亚时光 My Time At Portia,45,8.2,PC / PS4 / Xbox One / Nintendo Switch,1966,游戏 / 冒险,"超喜欢这种画风。
我看主播都可以送石墩子南瓜派什么的，然后我就突发奇想送了我心爱的艾米丽一坨屎，让她施肥用。
“真是个糟糕的礼物！”她说。
好感度-5
T T",https://img2.doubanio.com/lpic/s33459453.jpg
1,孤胆车神：维加斯 Gangstar: Vegas,45,8.2,iPhone / iPad / Android,146,游戏 / 射击 / 格斗 / 角色扮演 / 冒险 / 动作,"还行，算是手机上GTA风的沙盒了。
弗兰克死了为终点，剧情还可以，就是英语配音带口音。。听不大清，不过可以字幕。",https://img9.doubanio.com/lpic/s34197176.jpg
2,迷失蔚蓝2 サバイバルキッズ ～Lost in Blue 2～,45,8.3,NDS,50,游戏 / 冒险,没稳定下来好累，吹火找水找吃的疲于奔命。稳定下来好无聊，一天天做着差不多的事,https://img1.doubanio.com/lpic/s28092979.jpg
3,超凡双生 Beyond: Two Souls,45,8.2,PC / PS4 / PS3,4363,游戏 / 角色扮演 / 冒险 / 动作,如果操作再丝滑点就好了，就想看个剧情老是被这屎一样的操作卡住，有的地方指引不够，找了老半天才找到可以交互的地方,https://img1.doubanio.com/lpic/s29839559.jpg
4,米皮大冒险：梦境 Mimpi Dreams,45,8.2,PC / iPhone / Android,169,游戏 / 冒险 / 动作,要存档，先付费……,https://img1.doubanio.com/lpic/s28670717.jpg
5,异常感染RPG 感染アノマリー,45,8.2,PC / Android / Windows Phone,16,游戏 / 横版过关 / 角色扮演 / 冒险 / 策略,居然没有异常感染，庆祝自己创建词条成功，先来五星哈哈哈,https://img9.doubanio.com/lpic/s28432954.jpg
